Death Trash Language File		
File Format Version:	1.1	
Language Id:	Russian	
------------------------------------------		
#NewGame:	New Game	Новая игра
#Resume:	Resume	Продолжить
#LoadGame:	Load	Загрузить
#DoSaveGame:	Save	Сохранить
#Quit:	Quit	Выйти
#MainMenu:	Main Menu	Главное меню
#Cancel:	Cancel	Отменить
#ConnectGamepadForCoop:	Connect a controller for this mode	Подключите контроллер для этого режима
#ConnectMoreGamepadsForCoop:	Connect another Controller for this mode	Подключите ещё один контроллер
#GatherYourPartyBeforeVenturingForth:	You must leave together	Вы должны играть вместе
#BeginReviving:	Reviving...	Возрождение…
#NotPossibleNow:	Not possible now	Пока невозможно
#TutorialDialogueLeave:	You can leave dialogue||anytime {0}	Вы можете прервать диалог||в любое время {0}
#Start:	Start	Начать
#NotEnoughRoomInInventory:	Inventory is full	Инвентарь заполнен
#BreakApart:	Deconstruct	Разобрать
#QuickItemSlot:	Nano Health	Нано-аптечка
#NoAmmo:	No ammo	Нет боеприпасов
#NoQuickItemSelected:	No Item selected	Не выбран предмет
#LevelUp:	Level	Уровень
#Talk:	Talk	Говорить
#CostTooMuch:	not affordable	не по карману
#NotSellable:		
#NoItems:	None	Ничего
#QuestFinished:	Finished	Выполненно
#QuestNew:	New Quest	Новое задание
#QuestProgress:	Quest updated	Задание обновленно
#SwitchedCharacters:	Switched Characters	Переключение персонажей
#Mouse:	Mouse	Мышь
#Gamepad:	Controller	Контроллер
#LetsContinue:	Let's continue...	Продолжим...
#QuestFailed:	Failed Quest	Задание провалено
#CombatModeBegins:	Combat	Бой
#CombatModeEnds:	Combat ends	Бой закончен
#Use:	Use	Использовать
#Examine:	Examine	Осмотреть
#ToWorldMap:	World Map	На карту мира
#Read:	Read	Прочесть
#DropAll:	Drop all	Выбросить всё
#BreakApartAll:	Deconstruct all	Разобрать всё
#SellAll:	Sell all	Продать всё
#Browse:	Search	Обыскать
#Loot:	Loot	Забрать
#LootAll:	Loot all	Забрать всё
#Drink:	Drink	Выпить
#AsYouWereSaying:	Let's continue...	Продолжим...
#TalkTo:	Talk	Говорить
#Continue:	Continue	Продолжить
#SelectProfile:	Select Profile	Выберите профиль
#Back:	Back	Назад
#Empty:	Empty	Пусто
#ReloadSavegame:	Reload	Презарядить
#LoadOtherProfile:	Switch Profile	Переключить профиль
#Body:	Body	Тело
#LoadProfile:	Load Game	Загрузить игру
#SelectModule:	Select Game Module	Выберите игровой модуль
#Learn:	Learn	Изучить
#RecipeLearned:	Crafting Recipe learned	Чертёж изучен
#LearnRecipeDescription:	Teaches a crafting recipe.	Обучает технологии изготовления.
#GamepadConnectionLost:	Controller connection lost	Соединение с контроллером потеряно
#All:	All	Всё
#Kill:	Kill	Убить
#Skin:	Skin Color	Цвет кожи
#Hair:	Hair Color	Цвет волос
#Open:	Open	Открыть
#Close:	Close	Закрыть
#Touch:	Touch	Дотронуться
#Menu:	Menu	Меню
#AreaExitNotSafe:	There are enemies nearby.	Рядом враги.
#OtherPlayerDied:	Other Player Died	Умер другой игрок
#Join:	Join	Присоединиться
#Head:	Head	Голова
#NotAvailable:	not available	недоступно
#Corpse:	Corpse	Труп
#Eat:	Eat	Съесть
#needs:	needs	нуждается
#Inventory:	Inventory	Инвентарь
#Unknown:	Unknown	Неизвестно
#Failed:	Failed	Провал
#Impossible:	Impossible	Невозможно
#Success:	Success	Успех
#Steal:	Steal	Украсть
#Pickpocket:	Pickpocket	Кража
#AbilityCannotBeUsedNow:	Cannot be used right now	Нельзя использовать сейчас
#CanNotUseInCombatMode:	Cannot use while in combat	Нельзя использовать в бою
#CanOnlyUseInCombatMode:	Can only use while in combat	Можно использовать только в бою
#Equip:	Equip	Экипировать
#Trinket:	Trinket	Брелок
#NoEnergy:	No Focus Energy	Нет энергии фокусировки
#OnCooldown:	Ability has Cooldown	Навык перезаряжается
#Abilities:	Abilities	Навыки
#ReloadWeapon:	Reload	Перезарядить
#UseQuickItem:	Use Equipped Item	Использовать предмет
#UseActionBarOne:	Action Bar 1	Панель действий 1
#UseActionBarTwo:	Action Bar 2	Панель действий 2
#UseActionBarThree:	Action Bar 3	Панель действий 3
#UseActionBarFour:	Action Bar 4	Панель действий 4
#Movement:	Movement	Движение
#SavingNotPossibleHere:	Saving is not possible||right now	Сейчас нельзя||сохраниться
#NoFurtherAmmo:	No further ammo	Нет боеприпасов
#Pickpocketing:	Pickpocketing	Кража
#Target:	Target	Цель
#NoCraftingRecipes:	No Crafting knowledge	Недостаточное знание изготовления
#NoQuests:	No Quests	Нет заданий
#Editor:	Editor	Редактор
#LeaveCurrentGame:	Leave Current Game?	Выйти из текущей игры?
#SocialExploration:	Explore	Исследовать
#MindExploration:	Explore Mind	Исследовать разум
#Options:	Options	Настройки
#MoveOne:	Move x 1	Переместить 1
#MoveStack:	Move Stack	Переместить кучу
#EnergyCells:	Energy Cells	Энергоячейки
#QuickItemUsageNotNeeded:	Health is already full	Вы полностью здоровы
#AlreadyEnoughItems:	Can't pick up more of that	Вам столько не унести
#NoRangedWeaponEquipped:	No ranged weapon equipped	Отсутствует стрелковое оружие
#Multiplayer:	Multiplayer	Мультиплеер
#SwitchingGameModeNotPossibleHere:	Switching Mode not possible right now	Сейчас невозможно изменить режим игры
#Save:	Save	Сохранение
#LoadSavegame:	Load Game	Загрузить
#LocalMultiplayer:	Local Co-Op	Локальный кооператив
#Autosave:	Autosave	Автосохранение
#SelectOtherProfile:	Select Profile	Виберите профиль
#DeleteProfile:	Delete Profile {0}	Удалить профиль {0}
#NewProfile:	New Slot	Новая ячейка
#Credits:	Credits	Авторы
#Accept:	Accept	Принять
#NotEnoughMaterials:	Not enough materials	Недостаточно материалов
#Sound:	Sound	Звуки
#Music:	Music / Environment	Музыка / Окружение
#RunInBackground:	Continue running gameplay when unfocused	Игра продолжится даже если вы переключитесь на другое окно.
#GamepadVibration:	Controller Vibration	Вибрация контроллера
#LockCursor:	Lock mouse cursor	Заблокировать курсор мыши
#FriendlyFire:	Friendly Fire	Стрельба по своим
#Screenshake:	Screenshake	Тряска экрана
#EquipMeleeWeapon:	Melee Weapon	Холодное оружие
#EquipRangedWeapon:	Ranged Weapon	Стрелковое оружие
#MeleeStrong:	Strong Melee	Мощный удар
#Ability:	Ability	Применить навык
#Difficulty:	Difficulty	Сложность
#HardDifficultyDescription:	Enemies have better stats. Enemies rotate, shoot and hit faster.	Характеристики врагов повышены, они более подвижны и лучше стреляют.
#Normal:	Standard	Обычная
#SelectProfileSlot:	Select Profile Slot	Виберите ячейку профиля
#SelectDifficulty:	Combat Difficulty	Сложность боя
#DifficultyDescription:	You can change the difficulty anytime during the game. You can also avoid combat encounters.	Вы можете изменить сложность во время игры. Кроме этого вы можете избегать боевых встреч.
#HardDifficultyName:	Hard	Тяжело
#NormalDifficulty:	Combat will be challenging.	Бои станут испытанием.
#EasyDifficultyDescription:	Enemies have worse stats.	Характеристики врагов снижены.
#EasyDifficultyName:	Relaxed	На расслабоне
#SelectGameMode:	Local Co-Op Mode	Локальный кооп
#NotEnough:	Not enough	Недостаточно
#Undo:	Undo	Отменить
#PhysicalBlunt:	Blunt	Дробящее 
#PhysicalSharp:	Sharp	Режущее
#PhysicalProjectiles:	Projectiles	Снаряды
#Buy:	Buy	Купить
#Sell:	Sell	Продать
#IncreaseCritChance:	Crit Chance	Шанс крита
#IncreaseCritDamage:	Crit Damage	Критический урон
#NotAvailableHere:	This action is not available here.	Это действие здесь невозможно.
#NotAvailableYet:	This action is not available yet.	Это действие пока недоступно.
#BrowseEmptyAgain:	Search (Empty)	Обыскать (пусто)
#RangedDescription:	Proficiency with ranged weapons like rifles and energy guns. Increases damage.	Навыки владения стрелковым оружием типа винтовок и энергетических ружей. Увеличивает урон.
#MeleeSharpDescription:	Proficiency with melee weapons like blades. Increases damage.	Навыки владения холодным режущим оружием. Увеличивает урон.
#SpeedDescription:	Increases movement speed.	Увеличивает скорость передвижения.
#AnimalismDescription:	A good understanding of animals.	Навыки дрессировки и понимания животных.
#ArtistryDescription:	Creativity and a feel for special opportunities. Unlocks dialogue options.	Креативность и умение находить особые возможности. Разблокирует дополнительные ветки диалогов.
#SmallGunsDescription:	Proficiency with small guns like pistols and SMGs. Increases damage.	Навыки владения малым стрелковым оружием типа пистолетов и пистолетов-пулеметов. Увеличивает урон.
#LockpickingDescription:	Unlocking doors and containers. Increases chance of success.	Навыки взлома замков и дверей. Увеличивает шанс успеха.
#PickpocketingDescription:	Stealing from other characters. Increases chance of success.	Кража у других персонажей. Увеличивает шанс успеха.
#BarteringDescription:	Interacting with merchants. Better prices.	Торговые связи. Улучшает цены при торговле.
#ToggleCombatMode:	Combat Mode	Боевой режим
#GraphicViolence:	Full Graphic Violence	Полноценные сцены насилия
#Master:	Master	Общая громкость
#InvalidName:	Invalid Name	Неверное имя имя
#FriendlyFireNone:	None	Нет
#FriendlyFireOnlyExplosives:	Explosives	Взрывы
#FriendlyFireFull:	Full	Полное
#Color:	Color	Цвет
#AccentColor:	Accent Color	Доп. цвет
#PhysicalBluntDescription:	Resistance against blunt objects like Clubs.	Сопротивление дробящему урону, например, от дубин.
#PhysicalSharpDescription:	Resistance against sharp objects like axes and blades.	Сопротивление режущему урону, например, от мечей и топоров.
#PhysicalProjectilesDescription:	Resistance against most of the ranged weapons.	Сопротивление урону стрелковым оружием.
#FireDescription:	Resistance against any kind of fire based damage.	Сопротивление к любому урону огнём.
#EnergyDescription:	Resistance against any kind of energy based damage.	Сопротивление к любому энергетическому урону.
#TechDescription:	Resistance against any kind of tech based damage, including cyber attacks.	Сопротивление любому технологическому урону, включая кибератаки.
#TitleScreen:	Title Screen	Главный экран
#NoReloadNeeded:	No reload needed	Перезарядка не требуется
#Health:	Health	Здоровье
#ReloadPrompt:	{0}	{0}
#NoRangedWeapon:	No ranged weapon	Отсутствует стрелковое оружие
#QuestCantBeStartedAgain:	Quest can't be started again	Задание нельзя начать заново
#Collect:	Collect	Собрать
#CharacterName:	Character Name	Имя персонажа
#UISize:	UI Scale	Размер интерфейса
#UISmall:	Small	Малый
#UIBig:	Large	Большой
#UICustom:	Custom	Настраиваемый
#ItemRequirementsMissing:	Item requirements missing	Требования не выполнены
#SwitchHandheldZoomedOut:	Handheld: Zoomed Out	Портативный: уменьшен
#SaveInFreeSlot:	Free Slot	Свободная ячейка
#Interrupted:	Action interrupted	Действие прервано
#AimingHelpForController:	Controller Aiming Help	Помощь в прицеливании контроллером
#UsedKey:	Used key	Использовать ключ
#TravelTo:	Travel to	Путешествовать в
#Backstab:	Backstab	Скрытый удар
#PotentialSalvage:	Potential salvage	Возможные составляющие
#Yes:	Yes	Да
#No:	No	Нет
#Skip:	Skip {0}	Пропустить {0}
#Container:	Container	Шкафчик
#Skills:	Skills	Навыки
#Statistics:	Statistics	Статистика
#Stats:	Stats	Показатаели
#General:	General	Общие
#Puked:	Puked	Вырвало
#Killed:	Killed	Убито
#QuestsFailed:	Quests failed	Проваленных заданий
#QuestsFinished:	Quests finished	Выполненные задания
#Social:	Social	Социальные
#Combat:	Combat	Боевые
#Trickery:	Trickery	Обман
#SmallGuns:	Small Firearms	Малое стрелковое
#Melee:	Melee	Ближний бой
#LargeGunsDescription:	Proficiency with rifles and shotguns. Increases damage.	Навыки владения винтовками и дробовиками. Увеличивает урон.
#TechnologyDescription:	Proficiency with advanced weapons. Increases damage.	Навыки владения высокотехнологичным оружием. Увеличивает урон.
#Artistry:	Artistry	Артистичность
#Bartering:	Bartering	Торговля
#Lockpicking:	Lockpicking	Взлом замков
#Attributes:	Core	Ключевые показатели
#Resistances:	Resistances	Сопротивления
#Strength:	Strength	Сила
#Hardness:	Hardiness	Выносливость
#Finesse:	Finesse	Ловкость
#Cybertech:	Cybertech	Кибернетика
#Empathy:	Empathy	Эмпатия
#Occultism:	Occultism	Оккультизм
#ExperienceAbbreviation:	Exp.	Опыта
#Level:	Level	Уровень
#Point:	Point	Очко
#Points:	Points	Очки
#Remaining:	remaining	осталось
#Fire:	Fire	Огонь
#Energy:	Energy	Энергия
#HardnessDescription:	Increases health and resistances.	Увеличивает количество здоровья и сопротивления.
#StrengthDescription:	Allows the use of better melee weapons. Better crit chances with melee weapons.	Позволяет использовать лучшее холодное оружие. Увеличивает шанс нанести критический урон холодным оружием.
#FinesseDescription:	Allows the use of better ranged weapons. Better crit chances with ranged weapons.	Позволяет использовать лучшее дальнобойное оружие. Увеличивает шанс нанести критический урон дальнобойным оружием.
#OccultismDescription:	Allows the use of abilities that communicate with the flesh.||Makes you endure higher stages of infection.	Позволяет использовать навыки взаимодействия с плотью.||Заставляет терпеть более высокие стадии инфекции.
#CybertechDescription:	Allows the use of most forms of implants and tech abilities.	Позволяет использовать большинство видов имплантатов и технических навыков.
#EmpathyDescription:	Influences some interactions with other characters.	Влияет на некоторые взаимодействия с другими персонажами.
#RandomVariant:	Random Name {0}||Random Variant {1}	Случайное имя {0}||Случайный вариант {1}
#RandomVariantAndNextTemplate:	Random name {0}||Random visuals {1} Next preset {2}	Случайное имя {0}||Случайная внешность {1} Следующий шаблон {2}
#ChooseYourCharacter:	Choose your character	Виберите своего персонажа
#ChooseYourClass:	Choose your character	Выберите свой класс
#Language:	Language	Язык
#EnglishLanguage:	English	English
#GermanLanguage:	Deutsch	Deutsch
#Drop:	Drop	Выбросить
#Audio:	Audio	Звук
#CurrentGame:	Current game	Текущая игра
#Unequip:	Unequip	Снять
#TutorialCloseInventory:	Close inventory	Закрыть инвентарь
#TutorialNavigateToInventoryTabMouse:	Click on the Inventory Tab	Щелкните на вкладку "Инвентарь" (Tab).
#TutorialNavigateToInventoryTabController:	Open Inventory {0}{1}	Открыть инвентарь {0}{1}
#TutorialSelectAbilityMouse:	Select the [0]{0} Ability||from the Action Bar	Выберите [0]{0} Навык||на панели действий
#TutorialSelectAbilityController:	Select the [0]{0} Ability||with {1} and {2}	Выберите [0]{0} Навык||при помощи {1} і {2}
#TutorialUseAbilityAnywhere:	Use ability [0]{0}||anywhere {1}	Используйте способность [0]{0}||в любом месте {1}
#TutorialPickUpPuke:	Pick up some of your own puke	Поднимите немного собственной рвоты
#TutorialExamineMachineAgain:	Examine the machine again	Осмотрите машину ещё раз
#TutorialCombatLeave:	Holster your weapon {0}	Уберите оружие {0}
#TutorialMeleePickUpWeapon:	Pick up the weapon	Поднимите оружие
#TutorialMeleeEquipWeapon:	Equip the weapon	Экипируйте оружие
#TutorialMeleeEnterCombatModeMouse:	Draw weapon {0}	Достаньте оружие {0}
#TutorialMeleeEnterCombatModeController:	Hit melee {0}||to enter combat mode||	Нанесите удар {0}|| для начала боя||
#TutorialMeleeWalkKeyboard:	Walk around with {0}{1}{2}{3}	Двигайтесь при помощи {0}{1}{2}{3}
#TutorialMeleeAttackDoor:	Destroy that door over there||with {0}	Сломайте двеь||используя {0}
#TutorialMeleeStrong:	Strong Melee Attack:||Hold {0}	Мощные удары:||зажмите {0}
#TutorialRangedPickUpWeapon:	Pick up the rifle||and the ammo	Поднимите винтовку||и боеприпасы
#TutorialRangedEquipWeapon:	Equip the rifle	Экипируйте винтовку
#TutorialRangedSelectWeaponMouse:	Target with ranged weapon||{0}	Прицелиться для||выстрела {0}
#TutorialRangedSelectWeaponController:	Select ranged weapon||by targeting with right stick	Выберите дальнобойное оружие||и прицельтесь правым стиком
#TutorialRangedShootTargets:	Shoot all red lights||on the wall {0}	Стреляйте по красным||фонарям на стене {0}
#TutorialRangedReload:	Reload {0}	Перезарядить{0}
#Button:	{0}	{0}
#LootAllController:	{0} All	{0} Все
#LootAllMouse:	{0} All	{0} Все
#TutorialWalkMouse:	Walk {0} or {1}{2}{3}{4}	Двигайтесь {0} или {1}{2}{3}{4}
#TutorialWalkGamepad:	Walk {0}	Двигайтесь {0}
#TutorialRoll:	Press {0} to roll.||Try it a few times now.	Для переката нажмите {0}.||Попробуйте сейчас несколько раз.
#TutorialSaveGame:	You can save the game manually when not in combat. {0}	Вы можете самостоятельно сохранить игру вне боя. {0}
#TutorialEnergyCost:	Some actions cost energy. When exhausted, you move slower.	Некоторые действия требуют затрат энергии. Когда энергия заканчивается, вы двигаетесь медленнее.
#TutorialDialogueContinue:	Continue {0}	Продолжить {0}
#TutorialItemPickUp:	Pick up the [0]{0}	Поднимите: [0]{0}
#TutorialEquipItemMouse:	Click the [0]{0}||or drag it|| into the slot	Щелкните [0]{0}||или перетащите его||в ячейку
#TutorialEquipItemController:	Equip the [0]{0}	Снарядите [0]{0}
#TutorialHealthPickUpItem:	Pick up [0]{0}	Поднимите: [0]{0}
#TutorialHealthUse:	Press {0} to heal yourself||with Nano Health.	Нажмите {0}, чтобы||использовать нано-аптечку.
#TutorialStealthUse:	Use [0]{0}||by holding {1}||	Удерживайте {1}, чтобы||применить [0]{0}||
#HealthInstant:	Health instantly	Мгновенное здоровье
#AllActionsInInventory:	All Actions {0}  Equip / Consume {1}  Compare {2}  Close {3} / {4}	Все действия {0}  Экипировать / использовать {1} Сверить {2} Закрыть {3} / {4}
#CloseContentWindow:	Close {0} / {1}	Закрыть {0} / {1}
#ClickToStart:	Click to start	Нажмите, чтобы начать
#PressToStart:	Press  {0}  to start	Нажмите {0}, чтобы начать
#Ammo:	Ammo	Боеприпасы
#Unarmed:	Unarmed	Безоружный
#NeedsAmmo:	Ammo	Боеприпасы
#ItemSlotLabelRanged:	Ranged	Дальний бой
#Weapons:	Weapons	Оружие
#DoQuickSave:	Quicksave	Быстрое сохранение
#LocationFesteringGorge:	Festering Gorge	Гноящееся ущелье
#LocationBunker17A:	Bunker 17	Бункер 17
#LocationRedForest:	Red Forest	Красный лес
#LocationQueensPalace:	Queen's Palace	Дворец Королевы
#LocationCrossroads:	Crossroads	Перекрёсток
#LocationMine19:	Mine 19	Шахта 19
#LocationRuinsOfOrlon:	Ruins Of Orlon	Руины Орлона
#LocationButchersDen:	Butcher's Den	Логово мясника
#LocationPukeBar:	Puke Bar	Бар "Блевота"
#LocationTutorialHub:	Kraken Temple	Храм Кракена
#LocationMine19Outside:	Outside	Снаружи
